Date,Open,High,Low,Close,Adj Close,Volume,Change %
07/15/2021,1827.35,1833.99,1820.07,1829.19,1829.19,0,0.12%
07/14/2021,1807.72,1830.32,1804.21,1827.06,1827.06,0,1.09%
07/13/2021,1806.17,1817.51,1798.54,1807.44,1807.44,0,0.09%
07/12/2021,1807.94,1811.04,1791.21,1805.88,1805.88,0,-0.12%
07/09/2021,1802.89,1812.71,1796.09,1807.98,1807.98,0,0.30%
07/08/2021,1803.67,1818.70,1794.28,1802.56,1802.56,0,-0.05%
07/07/2021,1796.96,1810.13,1793.64,1803.41,1803.41,0,0.37%
07/06/2021,1791.88,1815.34,1789.91,1796.69,1796.69,0,0.28%
07/05/2021,1787.69,1795.69,1784.09,1791.61,1791.61,0,0.27%
07/02/2021,1776.83,1795.40,1773.73,1786.79,1786.79,0,0.57%
07/01/2021,1770.06,1783.07,1765.47,1776.60,1776.60,0,0.38%
06/30/2021,1761.35,1774.72,1752.78,1769.80,1769.80,0,0.49%
06/29/2021,1778.44,1779.24,1750.11,1761.09,1761.09,0,-0.96%
06/28/2021,1781.24,1785.90,1770.69,1778.18,1778.18,0,-0.12%
06/25/2021,1775.46,1790.60,1773.27,1780.34,1780.34,0,0.29%
06/24/2021,1779.01,1788.56,1772.67,1775.18,1775.18,0,-0.20%
06/23/2021,1778.80,1795.18,1773.13,1778.73,1778.73,0,0.01%
06/22/2021,1783.23,1790.42,1771.99,1778.51,1778.51,0,-0.25%
06/21/2021,1764.44,1786.75,1764.44,1782.95,1782.95,0,1.11%
06/18/2021,1772.73,1797.24,1761.04,1763.34,1763.34,0,-0.56%
06/17/2021,1812.18,1825.58,1766.88,1773.31,1773.31,0,-2.13%
06/16/2021,1858.96,1862.43,1804.19,1811.95,1811.95,0,-2.51%
06/15/2021,1866.26,1869.67,1851.28,1858.69,1858.69,0,-0.39%
06/14/2021,1874.59,1878.21,1844.57,1865.99,1865.99,0,-0.57%
06/11/2021,1898.42,1903.30,1874.07,1876.64,1876.64,0,-1.13%
06/10/2021,1888.57,1900.09,1869.84,1898.14,1898.14,0,0.52%
06/09/2021,1893.49,1899.40,1886.58,1888.30,1888.30,0,-0.24%
06/08/2021,1898.99,1903.95,1883.38,1892.82,1892.82,0,-0.33%
06/07/2021,1888.49,1900.41,1880.88,1899.00,1899.00,0,0.48%
06/04/2021,1871.32,1896.60,1856.09,1889.97,1889.97,0,1.04%
06/03/2021,1908.09,1909.89,1865.11,1870.57,1870.57,0,-1.96%
06/02/2021,1900.05,1909.34,1894.05,1907.94,1907.94,0,0.41%
06/01/2021,1907.53,1916.84,1892.28,1900.19,1900.19,0,-0.32%
05/31/2021,1903.69,1911.13,1901.56,1906.36,1906.36,0,0.20%
05/28/2021,1897.05,1905.90,1881.84,1902.64,1902.64,0,0.35%
05/27/2021,1896.49,1903.87,1888.22,1896.08,1896.08,0,-0.02%
05/26/2021,1899.49,1913.15,1890.34,1896.44,1896.44,0,-0.15%
05/25/2021,1880.69,1900.63,1872.73,1899.26,1899.26,0,0.97%
05/24/2021,1882.34,1887.44,1875.19,1881.07,1881.07,0,0.04%
05/21/2021,1876.84,1889.85,1870.01,1880.30,1880.30,0,0.19%
05/20/2021,1869.74,1884.12,1863.53,1876.69,1876.69,0,0.38%
05/19/2021,1869.59,1890.15,1851.94,1869.57,1869.57,0,0.07%
05/18/2021,1866.59,1875.40,1862.94,1868.22,1868.22,0,0.11%
05/17/2021,1843.84,1868.80,1841.24,1866.13,1866.13,0,1.30%
05/14/2021,1826.49,1845.55,1819.79,1842.19,1842.19,0,0.86%
05/13/2021,1815.90,1828.81,1808.78,1826.57,1826.57,0,0.61%
05/12/2021,1837.40,1843.69,1813.00,1815.44,1815.44,0,-1.17%
05/11/2021,1834.58,1842.32,1817.68,1836.94,1836.94,0,0.08%
05/10/2021,1833.24,1845.53,1830.09,1835.44,1835.44,0,0.27%
05/07/2021,1815.48,1843.45,1812.90,1830.48,1830.48,0,0.84%
05/06/2021,1787.09,1818.21,1781.67,1815.18,1815.18,0,1.61%
05/05/2021,1778.91,1788.35,1769.95,1786.44,1786.44,0,0.45%
05/04/2021,1792.29,1799.38,1770.84,1778.48,1778.48,0,-0.77%
05/03/2021,1768.49,1798.22,1765.91,1792.36,1792.36,0,1.34%
04/30/2021,1772.90,1773.98,1763.73,1768.59,1768.59,0,-0.15%
04/29/2021,1780.90,1790.43,1756.19,1771.24,1771.24,0,-0.57%
04/28/2021,1776.80,1782.85,1762.56,1781.32,1781.32,0,0.26%
04/27/2021,1780.42,1785.90,1773.52,1776.69,1776.69,0,-0.20%
04/26/2021,1776.34,1783.69,1768.70,1780.19,1780.19,0,0.17%
04/23/2021,1784.33,1796.06,1770.05,1777.18,1777.18,0,-0.38%
04/22/2021,1794.15,1798.29,1776.83,1783.94,1783.94,0,-0.53%
04/21/2021,1778.64,1797.98,1775.95,1793.46,1793.46,0,0.91%
04/20/2021,1770.30,1780.77,1763.18,1777.25,1777.25,0,0.45%
04/19/2021,1779.50,1790.54,1765.98,1769.31,1769.31,0,-0.39%
04/16/2021,1763.84,1784.07,1759.79,1776.31,1776.31,0,0.74%
04/15/2021,1737.10,1769.91,1734.10,1763.21,1763.21,0,1.57%
04/14/2021,1744.30,1749.58,1732.13,1736.00,1736.00,0,-0.45%
04/13/2021,1732.59,1749.23,1723.27,1743.83,1743.83,0,0.65%
04/12/2021,1743.80,1745.36,1727.18,1732.51,1732.51,0,-0.61%
04/09/2021,1756.54,1757.47,1731.09,1743.10,1743.10,0,-0.73%
04/08/2021,1737.84,1759.13,1732.99,1755.94,1755.94,0,1.07%
04/07/2021,1742.96,1744.57,1730.13,1737.28,1737.28,0,-0.36%
04/06/2021,1728.49,1745.68,1726.82,1743.57,1743.57,0,0.88%
04/05/2021,1728.74,1733.75,1721.22,1728.44,1728.44,0,-0.02%
04/02/2021,1730.47,1732.55,1728.67,1728.84,1728.84,0,-0.08%
04/01/2021,1708.09,1730.80,1705.42,1730.18,1730.18,0,1.36%
03/31/2021,1685.59,1715.28,1677.93,1707.01,1707.01,0,1.32%
03/30/2021,1712.55,1714.74,1678.85,1684.80,1684.80,0,-1.59%
